description,business_type
st2-goodsthjacksona-cds,dev-test-env
st2-goodsthjacksona-cds-9_系统盘,dev-test-env
st2-goodsthjacksonb-cdp,iot-saas-platform
st2-goodsthjacksonb-cds,infra-node
st2-goodsthjacksonb-cds-12_系统盘,dev-test-env
st2-goodsthjacksonc-cdp,ecommerce-retail
st2-goodsthjacksonc-cds,dev-test-env
st2-goodsthkenny-cdp,dev-test-env
st2-goodsthkenny-cds,dev-test-env
st2-goodsthkenny-cds-5_系统盘,dev-test-env
st2-goodsthmasona-cdp-3_系统盘,dev-test-env
st2-goodsthmasona-cds,dev-test-env
st2-goodsthmasona-cds-15_系统盘,dev-test-env
st2-goodsthmasonb-cdp-2_系统盘,infra-node
st2-goodsthmasonb-cds,data-collection-delivery
st2-goodsthmasonb-cds-8_系统盘,dev-test-env
st2-goodsthmasonc-cds,dev-test-env
st2-goodsthmasonc-cds-2_系统盘,infra-node
st2-grafana-ad,infra-logging-monitoring
st2-gzaccess,dev-test-env
st2-gzacessx,dev-test-env
st2-gzacessx,dev-test-env
st2-gzactcachex,infra-cache
st2-gzactwsmaster,dev-test-env
st2-gzactwsx,dev-test-env
st2-gzactwsx,dev-test-env
st2-gzalskafka,infra-message-queue
st2-gzapollo,infra-coordination
st2-gzauthx,dev-test-env
st2-gzauthx,dev-test-env
st2-gzbackend-wxapplb,dev-test-env
st2-gzbackend-wxapplb,dev-test-env
st2-gzbz,infra-node
st2-gzbz,infra-node
st2-gzbzapi,dev-test-env
st2-gzbzapi,dev-test-env
st2-gzconfigx,infra-node
st2-gzconfigx,infra-node
st2-gzdatax,data-collection-delivery
st2-gzdatax,data-collection-delivery
st2-gzdev,dev-test-env
st2-gzdispatch,infra-message-queue
st2-gzdw,dev-test-env
st2-gzdw,dev-test-env
st2-gzesalscli,dev-test-env
st2-gzescli,infra-node
st2-gzface-10_系统盘,dev-test-env
st2-gzfestival,dev-test-env
st2-gzflume,data-collection-delivery
st2-gzflume_1,data-collection-delivery
st2-gzkapilb,dev-test-env
st2-gzlb,infra-node
st2-gzlgs,logistics-mobility
st2-gzloglb,infra-logging-monitoring
st2-gzlogwsx,infra-logging-monitoring
st2-gzlogwsx,infra-logging-monitoring
st2-gzoss,dev-test-env
st2-gzqqrpt,dev-test-env
st2-gzspark,ai-machine-learning
st2-gzspark,ai-machine-learning
st2-gzstag,dev-test-env
st2-gztk,infra-node
st2-gzwebpws,infra-node
st2-harvey-cds,dev-test-env
st2-hawk-4_系统盘,infra-node
st2-hawkagentstaging,infra-logging-monitoring
st2-hdfs-popsecond-sata,infra-node
st2-hknode,infra-node
st2-hknodetest,dev-test-env
st2-host-0hdubwwr-1_数据盘(FROM_snap-jxuu5u7s),infra-node
st2-host-0k2t9jzr-1_系统盘,infra-node
st2-host-1hszrb9q-1_系统盘,infra-node
st2-host-2bh7mvop,infra-node
st2-host-3aii52hs-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-64sqwbtu-1_系统盘,infra-node
st2-host-6ooqrn1h-1_数据盘(FROM_snap-jxuu5u7s),infra-node
st2-host-6s1pvwul-1_系统盘,infra-node
st2-host-7ivyyc7g-1_系统盘,infra-node
st2-host-7znlwd1t-1_系统盘,infra-node
st2-host-a5vgikfa-1_系统盘,dev-test-env
st2-host-aleqsmzg-1_系统盘,infra-node
st2-host-atim3a6i-1_数据盘(FROM_snap-1qkzpx3w),infra-node
st2-host-bxxskhsz-1_数据盘(FROM_snap-hy4tsq34),dev-test-env
st2-host-c2c9uw2r-1_数据盘(FROM_snap-jxuu5u7s),infra-node
st2-host-c2c9uw2r-1_系统盘,infra-node
st2-host-deaf7vwl-1_系统盘,infra-node
st2-host-dqtpzso7-1_系统盘,infra-node
st2-host-dy67edtd-1_系统盘,infra-node
st2-host-ecdlxv6j,dev-test-env
st2-host-ed887tlw-1_系统盘,infra-node
st2-host-ehpylcj,infra-coordination
st2-host-fkffztal-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-frdc33mc-1_系统盘,infra-node
st2-host-i0fxkwmv-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-il0ce0o0-1_系统盘,infra-node
st2-host-jcdb1et4-1_系统盘,infra-database
st2-host-jfdzgkiq-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-jfdzgkiq-1_系统盘,dev-test-env
st2-host-l4zjj9vn-1_系统盘,infra-node
st2-host-ljuwdtcb-1_系统盘,infra-node
st2-host-mm2owb1x-1_系统盘,infra-node
st2-host-osihspjc-1_系统盘,infra-node
st2-host-ppfmizlr-1_系统盘,infra-node
st2-host-pxks5boy-1_系统盘,infra-node
st2-host-q0ftiwuh-1_系统盘,infra-node
st2-host-rdbhbjmc-1_数据盘(FROM_snap-4nudqtf8),infra-node
st2-host-rh8bnjtp-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-rleryqwp-1_系统盘,infra-node
st2-host-sfth8awc-1_系统盘,infra-node
st2-host-sgixiops-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-sgixiops-1_系统盘,infra-node
st2-host-sjxediu0-1_系统盘,infra-node
st2-host-syr46h9m-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-t60ox24y-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-t60ox24y-1_系统盘,infra-node
st2-host-uze8kdia-1_系统盘,infra-node
st2-host-vouiqrg7-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-vybls1tr-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-vybls1tr-1_系统盘,infra-node
st2-host-xlmzh0x5-1_系统盘,infra-node
st2-host-xr2owvs7-1_系统盘,infra-node
st2-host-xwls1tyg,infra-node
st2-host-xzrmbcbc-1_数据盘(FROM_snap-hy4tsq34),dev-test-env
st2-host-xzrmbcbc-1_系统盘,infra-node
st2-host-yqhg9r2a-1_系统盘,infra-node
st2-host-ysi9mshj-1_数据盘(FROM_snap-hy4tsq34),infra-node
st2-host-ysi9mshj-1_系统盘,infra-node
st2-host-z5syipsk-1_系统盘,infra-node
st2-host-zsyx6dwz-2_系统盘,infra-node
st2-host-zzsoghmc-1_数据盘(FROM_snap-jxuu5u7s),infra-node
st2-huorong,infra-node
st2-husserl-cdp,dev-test-env
st2-husserl-cds,dev-test-env
st2-iknode,infra-coordination
st2-iknode,infra-coordination
st2-iknode,infra-coordination
st2-iknode-4887_数据盘,infra-node
st2-iknode-4887_系统盘,infra-coordination
st2-iknode-addon,infra-coordination
st2-im-log-kibana,infra-logging-monitoring
st2-imdb_0,dev-test-env
st2-imlb-file,dev-test-env
st2-imnlb,infra-node
st2-imschat,community-social-forum
st2-inform-api,dev-test-env
st2-inform-task,infra-coordination
st2-innerproxy,infra-node
st2-intelligent-copy-es,infra-logging-monitoring
st2-intraproxy,infra-node
st2-iphouse,data-collection-delivery
st2-jedi-spark-am,compute-simulation
st2-jketcd,infra-coordination
st2-jknode,infra-jumpbox
st2-jknode-54_系统盘,infra-jumpbox
st2-jknode-89_数据盘,infra-node
st2-jms-server-2_数据盘,infra-message-queue
st2-jump-chat,infra-jumpbox
st2-jump-express,infra-jumpbox
st2-jump-im-paas,infra-jumpbox
st2-kafka,infra-message-queue
st2-kafka,infra-message-queue
st2-kafka,infra-message-queue
st2-kfnlb,dev-test-env
st2-kfpt-akmaster,infra-node
st2-kfpt-aknode,infra-message-queue
st2-kfpt-aknode_0,infra-message-queue
st2-kfpt-aknodegw,infra-message-queue
st2-kfpt-bkmaster-2_系统盘,infra-message-queue
st2-kfpt-bkmaster-3_数据盘,infra-database
st2-kfpt-bknode-12_数据盘,infra-node
st2-kfpt-bknode-8_系统盘,infra-node
st2-kfpt-bknodegw-26_数据盘,infra-node
st2-kfpt-bknodegw-3_系统盘,infra-node
st2-kfpt-bknodevpn-7_数据盘,infra-node
st2-kkmaster,infra-coordination
st2-kknode,infra-node
st2-kknode,infra-node
st2-kknode-239_系统盘,infra-node
st2-kknode-427_数据盘,infra-node
st2-kknode-addon,infra-node
st2-kms-bigdata,infra-message-queue
st2-kms-bigdata-4_系统盘,dev-test-env
st2-kms-keystore-1_数据盘,infra-database
st2-kmsdb_1,infra-database
st2-lake-es,infra-logging-monitoring
st2-lb-jump-ops,infra-jumpbox
st2-leo-api-center,dev-test-env
st2-leo-api-center,dev-test-env
st2-leo-service-api-1_系统盘,dev-test-env
st2-leoauth,dev-test-env
st2-leoauthservice,dev-test-env
st2-leoconsole,dev-test-env
st2-leoconsole,dev-test-env
st2-leonotification,infra-logging-monitoring
st2-leoservice,infra-node
st2-leoservice-31_数据盘,infra-node
st2-leoserviceagent,infra-coordination
st2-lkmaster,infra-node
st2-lknode,infra-coordination
st2-log-akf,infra-logging-monitoring
st2-log-bkf,infra-logging-monitoring
st2-log-ckf-79_系统盘,infra-logging-monitoring
st2-log-ekf-16_系统盘,infra-logging-monitoring
st2-log-kf,infra-message-queue
st2-lyon-cdp,dev-test-env
st2-lyon-cds,dev-test-env
st2-mangan-mx,dev-test-env
st2-manmodel-hdfs-dn-4_系统盘,infra-node
st2-manorbattleb-cdp-2_系统盘,game-service
st2-manorbattleb-cds-19_系统盘,game-service
st2-manorbattleb-cds-28_数据盘,game-service
st2-market-flb,ecommerce-retail
st2-market-flbrouter,infra-logging-monitoring
st2-marketrecall-cdp-1_数据盘,dev-test-env
st2-marketrecall-cdp-4_系统盘,ai-machine-learning
st2-marketrecall-cds-3_系统盘,infra-node
st2-marketrecall-cds-7_数据盘,infra-node
st2-marketrouter,finance-payment
st2-marketsiluriana-cdp,iot-saas-platform
st2-marketsiluriana-cds,data-collection-delivery
st2-marmot,infra-node
st2-matk-lb,infra-node
st2-mdmvpn,infra-jumpbox
st2-mediakathy-cdp-1_系统盘,data-collection-delivery
st2-mediakathy-cds-2_数据盘,data-collection-delivery
st2-mediakathy-cds-7_系统盘,data-collection-delivery
st2-meta-aketcd,infra-coordination
st2-meta-akmaster,infra-coordination
st2-meta-bketcd,infra-coordination
st2-meta-bkmaster,infra-coordination
st2-mgesm-w-1_系统盘,infra-node
st2-mgesm-w-3_数据盘,infra-node
st2-mgesm-x-1_数据盘,infra-node
st2-miniapp,dev-test-env
st2-mknode,infra-node
st2-mna-cluster,infra-logging-monitoring
st2-mna-cluster,infra-logging-monitoring
st2-mna-cluster-7_系统盘,infra-node
st2-mna-logstash,infra-logging-monitoring
st2-mna-microserver,infra-node
st2-monitores-client,infra-logging-monitoring
st2-mxaketcd,infra-coordination
st2-mxakmaster,infra-coordination
st2-mxbknode,infra-node
st2-mysql-db,infra-database
st2-newapi-bkf-8_系统盘,infra-node
st2-nkmaster,infra-coordination
st2-nknodessd,infra-node
st2-nknodessd_41,infra-node
st2-nknodessd_unnamed_7,infra-node
st2-nknodestd,infra-node
st2-nknodestd,infra-node
st2-nknodestd_27,infra-node
st2-npm,dev-test-env
st2-nprobe,infra-logging-monitoring
st2-nprobe-pay,finance-payment
st2-ntpserver,infra-coordination
st2-officedns,infra-node
st2-oketcd-5_系统盘,infra-coordination
st2-oknode,infra-node
st2-oknode,infra-node
st2-oknode-2534_系统盘,infra-node
st2-oknode-2540_数据盘,infra-node
st2-oknode_13,infra-node
st2-oknode_st2-xknode-6493_系统盘,infra-node
st2-oknode_unnamed_35,infra-node
st2-omega,infra-node
st2-orderneighbor-cds,dev-test-env
st2-orderneighbor-cds-13_系统盘,local-service-delivery
st2-orderpatton-cdp,ecommerce-retail
st2-orderpatton-cds,ecommerce-retail
st2-orderresident-cds,dev-test-env
st2-orderresident-cds-5_系统盘,dev-test-env
st2-paas-consul-jump-1_数据盘,infra-coordination
st2-paases-client,infra-node
st2-paasetcd_0,infra-coordination
st2-paasyakrouter-cdp,infra-node
st2-paasyakrouter-cdp,infra-node
st2-paasyakrouter-cds,dev-test-env
st2-paasyakrouter-cds,dev-test-env
st2-package-seclb,infra-node
st2-packman-fft,dev-test-env
st2-panda-broker,infra-message-queue
st2-panda-epc,infra-node
st2-pangu,infra-node
st2-pangu-rr_st2-pangu-type-reset-1_系统盘,infra-node
st2-pay-jump-ops-1_数据盘,infra-jumpbox
st2-pblb,infra-node
st2-pdbbak,dev-test-env
st2-pdbbak,dev-test-env
st2-pdda-gcca,dev-test-env
st2-pdda-gir-htcc,infra-node
st2-pdda-gir-icon,infra-node
st2-pdda-gsip,dev-test-env
st2-pddcloud-akmaster,dev-test-env
st2-pddcloud-aknode,infra-node
st2-pddcloud-aknode,infra-node
st2-pddcloud-aknode,infra-node
st2-pddcloud-aknode-423_系统盘,infra-node
st2-pddcloud-aknode-450_数据盘,infra-node
st2-pddcloud-aknode-isv,infra-node
st2-pddcloud-aknode-isv,infra-node
st2-pddcloud-aknode-isv,infra-node
st2-pddcloud-aknode-quail,infra-node
st2-pddcloud-aknode-vpn,infra-jumpbox
st2-pddcloud-aknode-vpn-8_数据盘,infra-jumpbox
st2-pddcloud-aknode-vpn-9_系统盘,infra-jumpbox
st2-pddcloud-aknode_3,infra-node
st2-pddcloud-aknode_unnamed,infra-node
st2-pddcloud-aknodegw,infra-node
st2-pddcloud-aknodegw,infra-node
st2-pddcloud-ares-2,ecommerce-retail
st2-pddcloud-cat,dev-test-env
st2-pddcloud-host-n6t0kywe,infra-node
st2-pddcloud-inform-lite,dev-test-env
st2-pddcloud-leoservice,dev-test-env
st2-pddcloud-logstash,infra-logging-monitoring
st2-pddcloud-nat,infra-node
st2-pddcloud-panda-etcd,infra-coordination
st2-pddcloud-prometheus-etcd,infra-logging-monitoring
st2-pddcloud-puppet,infra-coordination
st2-pddcloud-rasp-manager_0,dev-test-env
st2-pddcloud-saber,ecommerce-retail
st2-pddcloud-tsdb-etcd,infra-coordination
st2-pddcloud-waf-nginx_0,infra-node
st2-pddcloud-yum,infra-node
st2-pddwaf-b-dadservice,infra-node
st2-pddwaf-b-detectorsqli,infra-node
st2-pddwaf-b-detectorxss,dev-test-env
st2-pddwaf-b-logger,infra-logging-monitoring
st2-pddwaf-b-nginx,dev-test-env
st2-pddwaf-b-nginx-mx,dev-test-env
st2-pddwaf-b-persona,ecommerce-retail
st2-pgraph-hdfs,dev-test-env
st2-pgraphssd-hdfs,infra-node
st2-phb-addumpiotransdisplayjaqen-tf,dev-test-env
st2-phb-addumpiotransdisplayjaqen-tf,dev-test-env
st2-phb-addumpiotransdisplayrank-tf,dev-test-env
st2-phb-addumpiotransdisplayrank-tf,dev-test-env
st2-phb-ordercapture,ecommerce-retail
st2-phb-perfhdd,infra-node
st2-phb-pgmonitorvice-30_数据盘,infra-logging-monitoring
st2-phb-pgmonitorvice-41_系统盘,infra-logging-monitoring
st2-phb-pltgovpharahbak,dev-test-env
st2-phb-riskdeufic,dev-test-env
st2-phb-userball-28_数据盘,infra-node
st2-phbase-gneta,infra-database
st2-phbase-logstash,infra-logging-monitoring
st2-phbase-neta,infra-node
st2-pikachu,game-service
st2-pketcd,infra-coordination
st2-pknode,infra-node
st2-pknode-683_数据盘,infra-node
st2-pknode-940_系统盘,infra-node
st2-pknode-addon,infra-node
st2-plant,infra-node
st2-pltgovdata-a-c-2_系统盘,gov-public-service
st2-pltgoves-pst-client,dev-test-env
st2-pmp-loader,infra-node
st2-pmysql-mha,infra-database
st2-pns-api-11_数据盘,infra-node
st2-pns-api-13_系统盘,dev-test-env
st2-pns-canary,infra-node
st2-pns-dubbo,infra-coordination
st2-pns-probe-agent,infra-logging-monitoring
st2-poplb,data-collection-delivery
st2-presto-pltgov,gov-public-service
st2-promolibraa-cdp-3_系统盘,data-collection-delivery
st2-promolibraa-cdp-5_数据盘,dev-test-env
st2-promolibraa-cds-119_数据盘,dev-test-env
st2-promolibraa-cds-45_系统盘,dev-test-env
st2-promoluxemburgbak-cdp_12,dev-test-env
st2-promoluxemburgbak-cds,dev-test-env
st2-promoluxemburgbak-cds,dev-test-env
st2-promoluxemburgbak-cds_10,dev-test-env
st2-proxy,infra-node
st2-proxy-office,office-system
st2-proxy-office-ftp,dev-test-env
st2-proxy-user,infra-node
st2-prs-public,dev-test-env
st2-prs-sentienl-2_系统盘,infra-coordination
st2-pst-26_系统盘,infra-node
st2-pst-28_数据盘,infra-node
st2-pubproxy,infra-node
st2-puppet,infra-node
st2-qa-testcase,dev-test-env
st2-qkmaster-2_系统盘,infra-coordination
st2-qknode-addon-3_系统盘_st2-wknode,infra-node
st2-qrcodelb,dev-test-env
st2-rasp-panel,dev-test-env
st2-rec-uc-es-client,dev-test-env
st2-recallsparkpc-cdp,dev-test-env
st2-recallsparkpc-cds,ai-machine-learning
st2-recbiz-cdp,dev-test-env
st2-recbiz-cds,data-collection-delivery
st2-recbusiness-cdp,ai-machine-learning
st2-recbusiness-cds,infra-node
st2-recdumpb-cdp,dev-test-env
st2-recdumpb-cds,data-collection-delivery
st2-recdumpc-cdp,data-collection-delivery
st2-recdumpc-cds,data-collection-delivery
st2-recdumpd-cdp,data-collection-delivery
st2-recdumpd-cds,dev-test-env
st2-recdumpe-cdp,data-collection-delivery
st2-recdumpe-cds,data-collection-delivery
st2-recdumpf-cdp,infra-node
st2-recdumpf-cds,data-collection-delivery
st2-recdumpg-cdp,data-collection-delivery
st2-recdumpg-cds,dev-test-env
st2-recdumph-cdp,infra-logging-monitoring
st2-recdumph-cds,data-collection-delivery
st2-recdumpi-cdp,data-collection-delivery
st2-recdumpi-cds,data-collection-delivery
st2-recdumpj-cdp,infra-node
st2-recdumpj-cds,infra-node
st2-recfeature-cdp,ai-machine-learning
st2-recfeature-cds,dev-test-env
st2-recgalileo-cdp,dev-test-env
st2-recgalileo-cds,dev-test-env
st2-recgin-cdp,dev-test-env
st2-recgin-cds,data-collection-delivery
st2-recpcache-cdp,infra-cache
st2-recpcache-cds,infra-cache
st2-recpcache-cds-51_系统盘,infra-cache
st2-recpcache-cds-54_数据盘,infra-cache
st2-recprofilea-cdp,dev-test-env
st2-recprofilea-cds,dev-test-env
st2-recpush-cdp,dev-test-env
st2-recpush-cds,data-collection-delivery
st2-recrapidoa-cdp,dev-test-env
st2-recrapidoa-cds,dev-test-env
st2-recuprofile-cdp,dev-test-env
st2-recuprofile-cds,dev-test-env
st2-regulus-manager,infra-coordination
st2-reviewa-cds,dev-test-env
st2-reviewkant-cds,dev-test-env
st2-reviewkant-cds-41_系统盘,infra-node
st2-reviewkant-cds-60_数据盘,dev-test-env
st2-rider,dev-test-env
st2-risk-reaitime-es-client,infra-logging-monitoring
st2-riskantirobotmaster-cdp,dev-test-env
st2-riskantirobotmaster-cds,infra-node
st2-risklapinsa-cdp,data-collection-delivery
st2-risklapinsa-cds,finance-payment
st2-risklapinsb-cdp,dev-test-env
st2-risklapinsb-cds,dev-test-env
st2-risklapinsc-cdp,dev-test-env
st2-risklapinsc-cds,finance-payment
st2-risklist-cds,finance-payment
st2-riskpddidc-cdp,ecommerce-retail
st2-riskpddidc-cds,ecommerce-retail
st2-riskpddidslave-cdp,infra-database
st2-riskpddidslave-cds,ecommerce-retail
st2-rknode,infra-message-queue
st2-rknode-4949_系统盘,infra-node
st2-roc-proxy,infra-node
st2-roc-proxy,infra-node
st2-roc-proxy-56_数据盘,infra-node
st2-roc-proxy-70_系统盘,infra-node
st2-roc-proxy_0,infra-node
st2-roc-remote-agent-2_系统盘,infra-jumpbox
st2-rpmbuild,dev-test-env
st2-saber,infra-node
st2-satools,infra-logging-monitoring
st2-satools,infra-logging-monitoring
st2-scanver-agent,infra-logging-monitoring
st2-scanver-mq-2_数据盘,infra-message-queue
st2-sched,infra-coordination
st2-sec-hids-lgsh,infra-logging-monitoring
st2-sec-hids-lgsh,infra-logging-monitoring
st2-sec-hids-lgsh_0,infra-logging-monitoring
st2-sec-hids-lgsh_4,infra-logging-monitoring
st2-sec-jump,infra-jumpbox
st2-seclb-cross,infra-node
st2-seclb-highcross,infra-node
st2-seclogrolling,infra-logging-monitoring
st2-secunbound,dev-test-env
st2-sfiles_1,infra-node
st2-shark-2_数据盘,infra-node
st2-shark-cross,dev-test-env
st2-shark-fft-qcloud,compute-simulation
st2-shark-hencrypt,infra-node
st2-shark-live,media-video-streaming
st2-shark-live,media-video-streaming
st2-shark-qcloud-dcloud,dev-test-env
st2-shark-qcloud-fft,compute-simulation
st2-sharkn-toa,dev-test-env
st2-simba-b,infra-node
st2-sknode,infra-node
st2-smashlb,game-service
st2-soda-bat-cluster-4_系统盘,infra-node
st2-spaketcd,infra-coordination
st2-spaknode,infra-node
st2-spaknode,infra-node
st2-ssdmgesd-n,dev-test-env
st2-ssdmgesd-o,infra-node
st2-ssdmgesd-p,infra-node
st2-ssdmgesd-q,infra-message-queue
st2-ssdmgesd-r-14_系统盘,infra-node
st2-ssdmgesd-v-27_系统盘,infra-node
st2-ssdmgesd-w-6_系统盘,infra-node
st2-ssdmgesd-x-16_系统盘,infra-node
st2-sso,office-system
st2-sso-portal,office-system
st2-st2-batbrand-hermes-4_系统盘,infra-message-queue
st2-st2-battennis,game-service
st2-sun-tdo,infra-node
st2-tanglb,infra-node
st2-taurusf-cdp,infra-node
st2-taurusf-cds,infra-node
st2-tcpnat_0,infra-node
st2-threat-file-pos,infra-logging-monitoring
st2-threat-file-pos-10_数据盘,infra-logging-monitoring
st2-tiger-taishan-kf,game-service
st2-tiger-taishan-kf-51_系统盘,infra-message-queue
st2-tiger-taishan-kf-55_数据盘,infra-message-queue
st2-tiger-taishankf-zk,infra-coordination
st2-tiger-tracker-bkf,data-collection-delivery
st2-tiger-tracker-bkf-60_系统盘,game-service
st2-tiger-tracker-ckf,logistics-mobility
st2-tiger-tracker-dkf-57_系统盘,dev-test-env
st2-tiger-tracker-ekf-17_系统盘,dev-test-env
st2-tiger-tracker-kf,infra-message-queue
st2-titan-gw,dev-test-env
st2-titan-gw,dev-test-env
st2-titan-gw,dev-test-env
st2-titan-mt,infra-node
st2-titan-mt-137_系统盘,infra-node
st2-titan-mt-140_数据盘,dev-test-env
st2-titan-shr,dev-test-env
st2-titan-shr-7_系统盘,dev-test-env
st2-titan-ws,dev-test-env
st2-titan-ws,dev-test-env
st2-tketcd,infra-coordination
st2-tknode,infra-node
st2-tknode,infra-node
st2-tknode,infra-node
st2-tracker-adkf,infra-logging-monitoring
st2-tsdb-event-cold-33_系统盘,infra-database
st2-tsdb-roc-cold-9_系统盘,infra-logging-monitoring
st2-tsdb-trans-cold-121_系统盘,infra-logging-monitoring
st2-uketcd,infra-coordination
st2-uknode,infra-node
st2-uknode,infra-node
st2-uknode-addon,infra-node
st2-ultron-console,infra-logging-monitoring
st2-ultron-console-staging-1_系统盘,dev-test-env
st2-ultron-core-2_系统盘,infra-node
st2-unbound,infra-node
st2-user-godwin-kf,infra-message-queue
st2-user-kf_2,infra-message-queue
st2-user-meinonghb-am,dev-test-env
st2-user-meinonghb-jn,dev-test-env
st2-user-meinonghb-nn,dev-test-env
st2-usergreenapia-cds,dev-test-env
st2-userhartley-cds_3,infra-node
st2-userinfocicero-cdp,dev-test-env
st2-userinfocicero-cds,dev-test-env
st2-usermaritain-cdp,dev-test-env
st2-usermaritain-cds,dev-test-env
st2-userpassportbak-cdp_19,dev-test-env
st2-userpassportbak-cds,dev-test-env
st2-userpassportbak-cds,dev-test-env
st2-userpassportbak-cds_18,infra-node
st2-userroster-cds_21,dev-test-env
st2-userscotus-cds,dev-test-env
st2-usertequila-cds,infra-node
st2-usertequila-cds,infra-node
st2-veritas-jenkins-master,dev-test-env
st2-veritas-jenkins-slave,dev-test-env
st2-weipin-proxy-3_系统盘,ecommerce-retail
st2-whitebox-volantis-packer-1_数据盘,dev-test-env
st2-wkmaster,infra-node
st2-wknode,infra-node
st2-wknode,infra-node
st2-woods-test-15_系统盘,dev-test-env
st2-woods-test-23_数据盘,dev-test-env
st2-xcloudlb,infra-node
st2-xkmaster,infra-coordination
st2-xknode,infra-coordination
st2-xknode,infra-coordination
st2-xknode,infra-coordination
st2-xknode-6216_系统盘,infra-node
st2-xknode-6288_数据盘,infra-coordination
st2-xknode_2,infra-node
st2-xknodegpu,infra-node
st2-xrec-hdfs-dn,infra-node
st2-xrec-hdfs-dn,infra-node
st2-xrec-model,ai-machine-learning
st2-xxxx-1_数据盘,dev-test-env
st2-yakrouter,dev-test-env
st2-yakrouter,dev-test-env
st2-yakrouter-live-12_数据盘,infra-node
st2-yakrouter-live-7_系统盘,media-video-streaming
st2-yakrouter-vi,dev-test-env
st2-yakrouter-vi-4_系统盘,infra-node
st2-yakrouter-xcx-2_数据盘,infra-node
st2-yknode,infra-coordination
st2-zk-gavin,infra-coordination
st2-zk-montreal,infra-coordination
st2-zk-omega-common,infra-coordination
st2-zk-omega-common,infra-coordination
st2-zk-pikachu,infra-coordination
st2-zk-rec,infra-coordination
st2-zk-risk,infra-coordination
st2-zk-tigermq,infra-coordination
st2-zk-user,infra-coordination
st2-zknode,infra-coordination
st2-zknode,infra-coordination
staging,dev-test-env
standard,generic-unknown
star,generic-unknown
star,generic-unknown
starbyu,education-learning
starmily_test,dev-test-env
startdt-admin,office-system
starvapour_system,game-service
stat-one,infra-logging-monitoring
static-system,corp-website-portal
static\www域名中访问mall商城项目的中间调度服务器，负责登录（vip）处理，api项目，静态文件的集群服务器,ecommerce-retail
statsd,infra-logging-monitoring
stc,generic-unknown
stembees,education-learning
stephenchentengxunyun,personal-use
steven.oakridge.vip,personal-use
stg_event/locust_ms,dev-test-env
stg_im/locust_sl_2/stg_digital,dev-test-env
stg_oms,dev-test-env
stg_oms_1,dev-test-env
stg_resque/locust_sl,dev-test-env
stillmann,generic-unknown
stillnotworking.today,personal-use
stlb,dev-test-env
stock,finance-payment
stone,generic-unknown
stone_秘密基地,game-service
stor-0-santa-micha-work0-mcim-cn-tcs1/dev/volumez2_storsanta-micha-work0-mcim-cn-tcs,infra-node
storage,infra-node
storage_够快云库,infra-node
store,ecommerce-retail
storm,compute-simulation
stress_test_天天中彩票上海普通区,dev-test-env
stu_cloud,education-learning
student,education-learning
study,education-learning
study-two,education-learning
studyLinux,education-learning
study_A,education-learning
stw-report,data-collection-delivery
style,generic-unknown
su,generic-unknown
subad,generic-unknown
subnet-9t9k1qbb_|_Default-Subnet（默认）_|_172.17.32.0/20_系统盘_0,generic-unknown
sucan_苏灿,generic-unknown
sucheng,education-learning
sudeng,generic-unknown
sugar-1,office-system
suichentree,generic-unknown
suitwa-db,infra-database
summer-light,game-service
sun,generic-unknown
sun-Flower,generic-unknown
sundehua_上海二区online_0,generic-unknown
sunedu,gov-public-service
suntao,personal-use
sunyoupan_admin_v,office-system
sunyuxing-cvm,generic-unknown
sunzp,generic-unknown
suofen,education-learning
super-app,iot-saas-platform
super-app-04-oneDay_系统盘_1_waf04-oneDay,dev-test-env
superfun,game-service
superman,game-service
supermarket,ecommerce-retail
supernode,infra-coordination
suregge,generic-unknown
survey_backup_app,data-collection-delivery
sutuike,ecommerce-retail
suwhite,generic-unknown
suyobe__密码Suyobe,infra-jumpbox
suzhou_yun,infra-node
suzhoujingyukeji_yunpan1,iot-saas-platform
suzijian,generic-unknown
svjiang,generic-unknown
svn,dev-test-env
svn,dev-test-env
svn,dev-test-env
svn_公司管理,dev-test-env
svn服务器,dev-test-env
svr,generic-unknown
swd,dev-test-env
swe13665883661@163.com_系统盘_youyou918官网,corp-website-portal
sweet,generic-unknown
sweetie-xx,community-social-forum
swf,media-video-streaming
swoole,generic-unknown
sxzy,education-learning
sy,generic-unknown
sy,generic-unknown
syc,generic-unknown
sycf,infra-cloud-function
syg,generic-unknown
syj,generic-unknown
sync2.sh.sm,data-collection-delivery
sys,generic-unknown
sys,generic-unknown
sys-api_1,office-system
sys.ssqq.joypeak.cn_蜀山传奇,game-service
sys_along_阿龙的HTML部署,personal-use
system,office-system
system2008_windows,generic-unknown
system_win_remote,infra-jumpbox
system_施耐德,iot-saas-platform
